Seq,MPA_touchi,MPA,Percentage,Area
114391,1,Palau,0.984596968,0.246149242
114392,1,Palau,0.117134863,0.029283716
114393,2,Palau,0,0
115103,2,Palau,0,0
115104,1,Palau,0.00635929,0.001589823
115105,1,Palau,0.68935902,0.172339755
115106,1,Palau,1,0.25
115107,1,Palau,1,0.25
115108,1,Palau,1,0.25
115109,1,Palau,1,0.25
115110,1,Palau,1,0.25
115111,1,Palau,1,0.25
115112,1,Palau,0.469139677,0.117284919
115113,2,Palau,0,0
115822,2,Palau,0,0
115823,2,Palau,0,0
115824,1,Palau,0.399709492,0.099927373
115825,1,Palau,1,0.25
115826,1,Palau,1,0.25
115827,1,Palau,1,0.25
115828,1,Palau,1,0.25
115829,1,Palau,1,0.25
115830,1,Palau,1,0.25
115831,1,Palau,1,0.25
115832,1,Palau,0.640224076,0.160056019
115833,2,Palau,0,0
116542,2,Palau,0,0
116543,1,Palau,0.032933092,0.008233273
116544,1,Palau,0.876230598,0.219057649
116545,1,Palau,1,0.25
116546,1,Palau,1,0.25
116547,1,Palau,1,0.25
116548,1,Palau,1,0.25
116549,1,Palau,0.997775412,0.249443853
116550,1,Palau,0.659458296,0.164864574
116551,1,Palau,0.59813464,0.14953366
116552,1,Palau,0.458445536,0.114611384
116553,2,Palau,0,0
117260,2,Palau,0,0
117261,2,Palau,0,0
117262,2,Palau,0,0
117263,1,Palau,0.46814048,0.11703512
117264,1,Palau,1,0.25
117265,1,Palau,1,0.25
117266,1,Palau,1,0.25
117267,1,Palau,1,0.25
117268,1,Palau,0.99924202,0.249810505
117269,1,Palau,0.409766852,0.102441713
117270,2,Palau,0,0
117271,2,Palau,0,0
117272,2,Palau,0,0
117273,2,Palau,0,0
117979,2,Palau,0,0
117980,2,Palau,0,0
117981,1,Palau,0.159018344,0.039754586
117982,1,Palau,0.720687019,0.180171755
117983,1,Palau,0.996611059,0.249152765
117984,1,Palau,1,0.25
117985,1,Palau,1,0.25
117986,1,Palau,1,0.25
117987,1,Palau,1,0.25
117988,1,Palau,0.785538931,0.196384733
117989,2,Palau,0,0
117990,2,Palau,0,0
118699,2,Palau,0,0
