"taxon_key","scientific_name","common_name","phylum","sub_phylum","super_class","class","super_order","order","suborder_infraorder","family","genus","species","comments_names","is_retired","taxon_group_id","taxon_level_id","functional_group_id","commercial_group_id","commercial","isscaap_id","cell_id","super_target","fb_spec_code","slb_spec_code","cla_code","ord_code","fam_code","gen_code","spe_code","slb_cla_code","slb_ord_code","slb_fam_code","slb_gen_code","is_use","is_taxa_used","is_mariculture_only","is_baltic_only","sl_max","slbl_max_type","sl_max_2","comments_sl_max","tl","se_tl","comments_tl","lat_north","lat_south","min_depth","max_depth","loo","woo","k","a","b","comments_growth","has_habitat_index","has_map","map_year","vulnerability","resilience","updated_by","date_updated","lineage","true_min_depth","true_max_depth"
600083,"Aphareus rutilans","Rusty jobfish","Chordata","Vertebrata","Osteichthyes","Actinopterygii","NA","Perciformes","NA","Lutjanidae","Aphareus","rutilans","",f,1,6,17,3,1,33,479,3,83,,6,60,323,4476,83,,,,,f,t,f,f,89,"",,"",4.11,0.57,"",35,-28,100,330,88.83,7059,0.16,0.01,2.94,"SLmax from Estimates table; SLinf from SLmax of Estimates table; K from Estimates table.",t,t,,"58.21","Medium","Deng","2018-10-09","Chordata.Vertebrata.Osteichthyes.Actinopterygii.NA.Perciformes.NA.Lutjanidae.Aphareus.Rutilans","",""
600209,"Pristipomoides sieboldii","Lavender jobfish","Chordata","Vertebrata","Osteichthyes","Actinopterygii","NA","Perciformes","NA","Lutjanidae","Pristipomoides","sieboldii","",f,1,6,11,3,2,33,556,3,209,,6,60,323,2976,209,,,,,f,f,f,f,63,"",,"",3.67,0.2,"",35,-32,100,360,62.82,2873,0.35,0.01,2.98,"SLmax from Estimates table; SLinf from SLmax of Estimates table; K from Estimates table.",t,f,,"35.78","Medium","Deng","2018-10-09","Chordata.Vertebrata.Osteichthyes.Actinopterygii.NA.Perciformes.NA.Lutjanidae.Pristipomoides.Sieboldii","",""
600527,"Austroglossus microlepis","West coast sole","Chordata","Vertebrata","Osteichthyes","Actinopterygii","NA","Pleuronectiformes","NA","Soleidae","Austroglossus","microlepis","",f,1,6,23,7,1,31,788,3,527,,6,61,441,7350,527,,,,,f,t,f,f,66,"",,"",3.48,0.45,"",-12,-35,100,400,65.55,4139,0.13,0.01,3.07,"SLmax from Estimates table; SLinf from SLmax of Estimates table; K from Estimates table.",t,f,,"56.81","Low","Deng","2018-10-09","Chordata.Vertebrata.Osteichthyes.Actinopterygii.NA.Pleuronectiformes.NA.Soleidae.Austroglossus.Microlepis","",""
600727,"Squatina argentina","Argentine angelshark","Chordata","Vertebrata","Chondrichthyes","Elasmobranchii","NA","Squatiniformes","NA","Squatinidae","Squatina","argentina","",f,1,6,20,9,1,38,828,4,727,,4,11,15,3432,727,,,,,f,t,f,f,156,"",,"",4.11,0.57,"",-30,-48,100,400,156.22,34591,0.12,0.01,3.04,"SLmax from Estimates table; SLinf from SLmax of Estimates table; K from Estimates table.",t,f,,"73.05","Very low","Deng","2018-10-09","Chordata.Vertebrata.Chondrichthyes.Elasmobranchii.NA.Squatiniformes.NA.Squatinidae.Squatina.Argentina","",""
612848,"Liopropoma maculatum","Liopropoma maculatum","Chordata","Vertebrata","Osteichthyes","Actinopterygii","NA","Perciformes","NA","Serranidae","Liopropoma","maculatum","",f,1,6,4,3,2,33,1765,3,12848,,6,60,289,3788,12848,,,,,f,f,f,f,22,"",,"",3.7,0.61,"",40,-28,100,400,21.7,130,0.4,0.01,3.04,"SLmax from Estimates table; SLinf from SLmax of Estimates table; K from Estimates table.",t,t,,"32.67","Medium","Deng","2018-10-09","Chordata.Vertebrata.Osteichthyes.Actinopterygii.NA.Perciformes.NA.Serranidae.Liopropoma.Maculatum","",""
601391,"Etelis oculatus","Queen snapper","Chordata","Vertebrata","Osteichthyes","Actinopterygii","NA","Perciformes","NA","Lutjanidae","Etelis","oculatus","",f,1,6,11,3,1,33,981,3,1391,,6,60,323,9802,1391,,,,,f,t,f,f,77,"",71,"",4.18,0.57,"",36,-12,100,450,76.64,5042,0.42,0.02,2.92,"SLmax from Estimates table; SLinf from SLmax of Estimates table; K from Estimates table.",t,f,,"33.75","Medium","Deng","2018-10-09","Chordata.Vertebrata.Osteichthyes.Actinopterygii.NA.Perciformes.NA.Lutjanidae.Etelis.Oculatus","",""
605007,"Pontinus kuhlii","Offshore rockfish","Chordata","Vertebrata","Osteichthyes","Actinopterygii","NA","Scorpaeniformes","NA","Scorpaenidae","Pontinus","kuhlii","",f,1,6,11,8,1,34,1323,3,5007,,6,59,264,7466,5007,,,,,f,t,f,f,43,"",32,"",4.05,0.7,"",42,-8,100,600,43.21,999,0.09,0.01,3.02,"SLmax from Estimates table; SLinf from SLmax of Estimates table; K from Estimates table.",t,f,,"68.44","Low","Deng","2018-10-09","Chordata.Vertebrata.Osteichthyes.Actinopterygii.NA.Scorpaeniformes.NA.Scorpaenidae.Pontinus.Kuhlii","",""
601777,"Trachipterus trachypterus","Mediterranean dealfish","Chordata","Vertebrata","Osteichthyes","Actinopterygii","NA","Lampriformes","NA","Trachipteridae","Trachipterus","trachypterus","this is a rare species found in bathydemersal environments",f,1,6,9,12,2,39,,3,1777,,6,41,225,3623,1777,,,,,f,f,f,f,246,"",,"",4.5,0.64,"",90,-90,100,600,246,21196,0.07,0,3.06,"SLmax_old; SLinf from SLmax of Estimates table; K from Estimates table.",t,t,,"85.4","Low","Deng","2018-10-09","Chordata.Vertebrata.Osteichthyes.Actinopterygii.NA.Lampriformes.NA.Trachipteridae.Trachipterus.Trachypterus","",""
600028,"Lepidorhombus whiffiagonis","Megrim","Chordata","Vertebrata","Osteichthyes","Actinopterygii","NA","Pleuronectiformes","NA","Scophthalmidae","Lepidorhombus","whiffiagonis","",f,1,6,23,7,1,31,448,3,28,,6,61,515,5489,28,,,,,f,t,f,f,50,"",39,"",4.34,0.13,"",69,26,100,700,49.98,862,0.16,0.01,3.07,"SLmax from Estimates table; SLinf from SLmax of Estimates table; K from Estimates table.",t,t,,"59.63","Low","Deng","2018-10-09","Chordata.Vertebrata.Osteichthyes.Actinopterygii.NA.Pleuronectiformes.NA.Scophthalmidae.Lepidorhombus.Whiffiagonis","",""
607557,"Polymixia nobilis","Stout beardfish","Chordata","Vertebrata","Osteichthyes","Actinopterygii","NA","Polymixiiformes","NA","Polymixiidae","Polymixia","nobilis","",f,1,6,11,12,2,39,,3,7557,,6,42,238,2622,7557,,,,,f,f,f,f,40,"",44,"",4.2,0.73,"",90,-90,100,770,39.65,829,0.2,0.01,3.09,"SLmax from Estimates table; SLinf from SLmax of Estimates table; K from Estimates table.",t,t,,"42.87","Medium","Deng","2018-10-09","Chordata.Vertebrata.Osteichthyes.Actinopterygii.NA.Polymixiiformes.NA.Polymixiidae.Polymixia.Nobilis","",""
