MPA,MPA_Name,cg_name,time_period,Data_Type,RCP,Model,sector_type_id,total_sum,baseline_sum,delta_mean,sector_name,eez_name,baseline_importance
GreatBarrierReef,Great Barrier Reef,Crustaceans,End of Century,Catch,85,MPA,3,62.96616536961868,61.38228587913878,2.5803527317287394,Artisanal,Australia,NA
GreatBarrierReef,Great Barrier Reef,Crustaceans,End of Century,nonuse_value,85,MPA,1,19976377.73244841,20690875.010229807,-3.453199912657833,Industrial,Australia,NA
GreatBarrierReef,Great Barrier Reef,Crustaceans,End of Century,nonuse_value,85,MPA,3,3297083.2413611556,3184401.6774799684,3.5385474350823656,Artisanal,Australia,NA
GreatBarrierReef,Great Barrier Reef,Crustaceans,End of Century,revenue,85,MPA,1,1170049.2870393838,1217954.6610892788,-3.9332641501655545,Industrial,Australia,10.257326140169559
GreatBarrierReef,Great Barrier Reef,Crustaceans,End of Century,revenue,85,MPA,3,94515.06555345845,91273.3714285247,3.5516318442036448,Artisanal,Australia,1.6651486099066117
GreatBarrierReef,Great Barrier Reef,Crustaceans,Mid Century,Abd,85,MPA,1,5888.811776606641,6211.581108943321,-5.196250788256839,Industrial,Australia,37.802324974580735
GreatBarrierReef,Great Barrier Reef,Crustaceans,Mid Century,Abd,85,MPA,3,2074.4552891844332,2141.5427586986784,-3.1326700922381443,Artisanal,Australia,16.338698462588845
GreatBarrierReef,Great Barrier Reef,Crustaceans,Mid Century,Catch,85,MPA,1,361.1464718956175,383.0191038275384,-5.7105851152974045,Industrial,Australia,NA
GreatBarrierReef,Great Barrier Reef,Crustaceans,Mid Century,Catch,85,MPA,3,59.47086435611539,61.38228587913878,-3.113962759202156,Artisanal,Australia,NA
GreatBarrierReef,Great Barrier Reef,Crustaceans,Mid Century,nonuse_value,85,MPA,1,20570011.095368903,20690875.010229807,-0.5841411482170169,Industrial,Australia,NA
GreatBarrierReef,Great Barrier Reef,Crustaceans,Mid Century,nonuse_value,85,MPA,3,3092430.4644229757,3184401.6774799684,-2.888178765493421,Artisanal,Australia,NA
GreatBarrierReef,Great Barrier Reef,Crustaceans,Mid Century,revenue,85,MPA,1,1202402.0621916826,1217954.6610892788,-1.2769439942605616,Industrial,Australia,10.257326140169559
GreatBarrierReef,Great Barrier Reef,Crustaceans,Mid Century,revenue,85,MPA,3,88654.32882550643,91273.3714285247,-2.869448736282541,Artisanal,Australia,1.6651486099066117
GreatBarrierReef,Great Barrier Reef,Crustaceans,Today,Abd,85,MPA,1,6211.581108943321,6211.581108943321,0,Industrial,Australia,37.802324974580735
GreatBarrierReef,Great Barrier Reef,Crustaceans,Today,Abd,85,MPA,3,2141.5427586986784,2141.5427586986784,0,Artisanal,Australia,16.338698462588845
GreatBarrierReef,Great Barrier Reef,Crustaceans,Today,Catch,85,MPA,1,383.0191038275384,383.0191038275384,0,Industrial,Australia,NA
GreatBarrierReef,Great Barrier Reef,Crustaceans,Today,Catch,85,MPA,3,61.38228587913878,61.38228587913878,0,Artisanal,Australia,NA
GreatBarrierReef,Great Barrier Reef,Crustaceans,Today,nonuse_value,85,MPA,1,20690875.010229807,20690875.010229807,0,Industrial,Australia,NA
GreatBarrierReef,Great Barrier Reef,Crustaceans,Today,nonuse_value,85,MPA,3,3184401.6774799684,3184401.6774799684,0,Artisanal,Australia,NA
GreatBarrierReef,Great Barrier Reef,Crustaceans,Today,revenue,85,MPA,1,1217954.6610892788,1217954.6610892788,0,Industrial,Australia,10.257326140169559
GreatBarrierReef,Great Barrier Reef,Crustaceans,Today,revenue,85,MPA,3,91273.3714285247,91273.3714285247,0,Artisanal,Australia,1.6651486099066117
GreatBarrierReef,Great Barrier Reef,Perch-likes,End of Century,Abd,85,MPA,1,529657.9641883194,535610.7028219409,-1.1113927713278762,Industrial,Australia,9.61460148297069
GreatBarrierReef,Great Barrier Reef,Perch-likes,End of Century,Abd,85,MPA,2,77766.38754707962,49280.36031391323,57.804015741183576,Subsistence,Australia,43.871763724469396
GreatBarrierReef,Great Barrier Reef,Perch-likes,End of Century,Abd,85,MPA,3,135890.65365715313,104498.33246756259,30.040978117363792,Artisanal,Australia,18.307662905739132
GreatBarrierReef,Great Barrier Reef,Perch-likes,End of Century,Abd,85,MPA,4,178814.81281289086,140876.1991464925,26.93046369525292,Recreational,Australia,38.45828533753751
GreatBarrierReef,Great Barrier Reef,Perch-likes,End of Century,Catch,85,MPA,1,2820.3800534927327,2883.7322782898186,-2.196883021147046,Industrial,Australia,NA
GreatBarrierReef,Great Barrier Reef,Perch-likes,End of Century,Catch,85,MPA,2,202.88101415885146,129.35092742977648,56.84542677051453,Subsistence,Australia,NA
GreatBarrierReef,Great Barrier Reef,Perch-likes,End of Century,Catch,85,MPA,3,568.85840271451,502.26607160923766,13.258377356032344,Artisanal,Australia,NA
GreatBarrierReef,Great Barrier Reef,Perch-likes,End of Century,Catch,85,MPA,4,684.8621618784207,592.8525464049948,15.519814502166529,Recreational,Australia,NA
GreatBarrierReef,Great Barrier Reef,Perch-likes,End of Century,nonuse_value,85,MPA,1,1360942408.5695474,1081788204.226684,25.804885212481736,Industrial,Australia,NA
GreatBarrierReef,Great Barrier Reef,Perch-likes,End of Century,nonuse_value,85,MPA,2,396275166.92550194,205377337.62756824,92.949802301999,Subsistence,Australia,NA
