taxon_key,scientific_name,common_name,functional_group_id,commercial_group_id,fg_name,cg_name
690905,Paralomis verrilli,Vermillion king crab,27,10,"Lobsters, crabs",Crustaceans
600925,Anchoa marinii,Marini's anchovy,1,1,Small pelagics (<30 cm),Anchovies
601720,Hymenocephalus italicus,Glasshead grenadier,1,1,Small pelagics (<30 cm),Anchovies
601655,Odontognathus mucronatus,Guiana longfin herring,1,2,Small pelagics (<30 cm),Herring-likes
600552,Lycengraulis grossidens,Atlantic sabretooth anchovy,1,1,Small pelagics (<30 cm),Anchovies
600997,Hemicaranx amblyrhynchus,Bluntnose jack,2,3,Medium pelagics (30 - 89 cm),Perch-likes
505586,Anchoviella,Anchovies,1,1,Small pelagics (<30 cm),Anchovies
601182,Larimus fasciatus,Banded drum,4,3,Small demersals (<30 cm),Perch-likes
601484,Opisthonema libertate,Pacific thread herring,1,2,Small pelagics (<30 cm),Herring-likes
590134,Meretrix,Hard clams,29,11,Other demersal invertebrates,Molluscs
6986501,Callinectes pallidus,gladiator swimcrab,1,1,Small pelagics (<30 cm),Anchovies
601888,Alectis alexandrina,Alexandria pompano,2,3,Medium pelagics (30 - 89 cm),Perch-likes
600119,Scomberomorus brasiliensis,Serra Spanish mackerel,3,3,Large pelagics (>=90 cm),Perch-likes
500487,Scomberomorus,Spanish mackerels,3,3,Large pelagics (>=90 cm),Perch-likes
600876,Carcharhinus macloti,Hardnose shark,19,9,Small to medium sharks (<90 cm),Sharks & rays
601897,Caranx senegallus,Senegal jack,14,3,Medium benthopelagics (30 - 89 cm),Perch-likes
601596,Tenualosa ilisha,Hilsa shad,2,2,Medium pelagics (30 - 89 cm),Herring-likes
500467,Caranx,Jacks,17,3,Medium reef assoc. fish (30 - 89 cm),Perch-likes
603920,Hyperoglyphe bythites,Black driftfish,2,3,Medium pelagics (30 - 89 cm),Perch-likes
601661,Engraulis capensis,Southern African anchovy,1,1,Small pelagics (<30 cm),Anchovies
606979,Notolepis annulata,Ringed barracudina,18,12,Large reef assoc. fish (>=90 cm),Other fishes & inverts
503328,Notoscopelus,Lampfish,1,12,Small pelagics (<30 cm),Other fishes & inverts
190277,Echinodermata,"Sea urchins, stars, cucumbers",29,12,Other demersal invertebrates,Other fishes & inverts
606988,Gymnoscopelus bolini,Grand lanternfish,7,12,Small bathypelagics (<30 cm),Other fishes & inverts
604464,Gnathanodon speciosus,Golden trevally,18,3,Large reef assoc. fish (>=90 cm),Perch-likes
605188,Puntius katolo,Puntius katolo,13,12,Small benthopelagics (<30 cm),Other fishes & inverts
509289,Hemiramphus,Halfbeaks,2,12,Medium pelagics (30 - 89 cm),Other fishes & inverts
590113,Saccostrea,Rock/hooded oysters,29,11,Other demersal invertebrates,Molluscs
611783,Ambassis buruensis,Buru glass perchlet,4,3,Small demersals (<30 cm),Perch-likes
400509,Ambassidae,Asiatic glassfishes,4,3,Small demersals (<30 cm),Perch-likes
600872,Carcharhinus isodon,Finetooth shark,20,9,Large sharks (>=90 cm),Sharks & rays
390011,Archaeogastropoda,"Abalones, winkles",29,11,Other demersal invertebrates,Molluscs
490137,Diogenidae,Hermit crabs,27,10,"Lobsters, crabs",Crustaceans
590195,Trochus,Trochus,29,11,Other demersal invertebrates,Molluscs
590124,Anadara,"Arks, blood cockles",29,11,Other demersal invertebrates,Molluscs
690182,Limulus polyphemus,Horseshoe crab,29,12,Other demersal invertebrates,Other fishes & inverts
290044,Merostomata,Chelicerates,29,12,Other demersal invertebrates,Other fishes & inverts
501345,Tylosurus,Needlefishes,3,12,Large pelagics (>=90 cm),Other fishes & inverts
604025,Prionotus rubio,Blackwing searobin,4,8,Small demersals (<30 cm),Scorpionfishes
651212,Cottoperca gobio,Channel bull blenny,5,3,Medium demersals (30 - 89 cm),Perch-likes
590157,Stichopus,Boxed sea cucumbers,29,12,Other demersal invertebrates,Other fishes & inverts
608069,Diplodus sargus helenae,St. Helena white seabream,13,3,Small benthopelagics (<30 cm),Perch-likes
290002,Cephalopoda,"Squids, cuttlefishes, octopuses",25,12,Cephalopods,Other fishes & inverts
611512,Albula glossodonta,Roundjaw bonefish,18,12,Large reef assoc. fish (>=90 cm),Other fishes & inverts
605797,Gazza achlamys,Smalltoothed ponyfish,4,3,Small demersals (<30 cm),Perch-likes
607198,Amblygobius phalaena,Whitebarred goby,16,3,Small reef assoc. fish (<30 cm),Perch-likes
607416,Myctophum obtusirostre,Bluntsnout lanternfish,7,12,Small bathypelagics (<30 cm),Other fishes & inverts
612803,Periophthalmus barbarus,Atlantic mudskipper,16,3,Small reef assoc. fish (<30 cm),Perch-likes
690768,Vasum turbinellum,Top vase,29,11,Other demersal invertebrates,Molluscs
690796,Nerita polita,Polished nerite,29,11,Other demersal invertebrates,Molluscs
490152,Chitonidae,Chitons,29,11,Other demersal invertebrates,Molluscs
690814,Acanthopleura spinosa,Spiney chiton,29,11,Other demersal invertebrates,Molluscs
501634,Cypselurus,Cypselurid flyingfishes,1,12,Small pelagics (<30 cm),Other fishes & inverts
690153,Mactra veneriformis,Globose clam,29,11,Other demersal invertebrates,Molluscs
490142,Neritidae,Nerites snails,29,11,Other demersal invertebrates,Molluscs
625225,Sicamugil cascasia,Yellowtail mullet,4,3,Small demersals (<30 cm),Perch-likes
690811,Terebra crenulata,Crenulated auger,29,11,Other demersal invertebrates,Molluscs
490037,Xanthidae,Xanthidae,27,10,"Lobsters, crabs",Crustaceans
590051,Strombus,Stromboid conchs,29,11,Other demersal invertebrates,Molluscs
390002,Teuthida,Squids,25,12,Cephalopods,Other fishes & inverts
601964,Trachinotus mookalee,Indian pompano,5,3,Medium demersals (30 - 89 cm),Perch-likes
601632,Ilisha megaloptera,Bigeye ilisha,1,1,Small pelagics (<30 cm),Anchovies
601633,Ilisha melastoma,Indian ilisha,1,1,Small pelagics (<30 cm),Anchovies
600483,Genypterus chilensis,Red cusk-eel,12,12,Large bathydemersals (>=90 cm),Other fishes & inverts
490056,Arcidae,Ark clams,29,11,Other demersal invertebrates,Molluscs
400218,Atherinidae,Silversides,1,12,Small pelagics (<30 cm),Other fishes & inverts
590128,Donax,Bean clams,29,11,Other demersal invertebrates,Molluscs
400627,Lateolabracidae,Asian seaperches,6,3,Large demersals (>=90 cm),Perch-likes
600345,Centropomus undecimalis,Common snook,15,3,Large benthopelagics (>=90 cm),Perch-likes
601480,Harengula jaguana,Scaled herring,1,2,Small pelagics (<30 cm),Herring-likes
601013,Centropomus ensiferus,Swordspine snook,13,3,Small benthopelagics (<30 cm),Perch-likes
500504,Centropomus,Fat snooks,14,3,Medium benthopelagics (30 - 89 cm),Perch-likes
601015,Centropomus pectinatus,Tarpon snook,14,3,Medium benthopelagics (30 - 89 cm),Perch-likes
600059,Symphodus melops,Corkwing wrasse,16,3,Small reef assoc. fish (<30 cm),Perch-likes
604242,Isopsetta isolepis,Butter sole,1,1,Small pelagics (<30 cm),Anchovies
690309,Venerupis corrugata,Corrugated venus,29,11,Other demersal invertebrates,Molluscs
590129,Dosinia,Dosinia clams,29,11,Other demersal invertebrates,Molluscs
400301,Kuhliidae,Aholeholes,14,3,Medium benthopelagics (30 - 89 cm),Perch-likes
500153,Polynemus,Paradise fishes,4,3,Small demersals (<30 cm),Perch-likes
509206,Abudefduf,Sergeants,16,3,Small reef assoc. fish (<30 cm),Perch-likes
590147,Tapes,Tapes clams,29,11,Other demersal invertebrates,Molluscs
690126,Solen vagina,European razor clam,29,11,Other demersal invertebrates,Molluscs
590145,Solen,Razor clams,29,11,Other demersal invertebrates,Molluscs
590139,Paphia,Indo-Pacific venus clams,29,11,Other demersal invertebrates,Molluscs
490061,Solenidae,"Razor, knife clams",29,11,Other demersal invertebrates,Molluscs
590137,Mulinia,Taquilla clams,29,11,Other demersal invertebrates,Molluscs
614090,Stellifer zestocarus,Softhead stardrum,4,3,Small demersals (<30 cm),Perch-likes
601128,Haemulon aurolineatum,Tomtate grunt,16,3,Small reef assoc. fish (<30 cm),Perch-likes
614069,Paralonchurus dumerilii,Suco croaker,5,3,Medium demersals (30 - 89 cm),Perch-likes
600850,Oblada melanura,Saddled seabream,13,3,Small benthopelagics (<30 cm),Perch-likes
608068,Lagocephalus inermis,Smooth blaasop,1,1,Small pelagics (<30 cm),Anchovies
603576,Lagodon rhomboides,Pinfish,1,1,Small pelagics (<30 cm),Anchovies
602499,Chelon labrosus,Thicklip grey mullet,5,3,Medium demersals (30 - 89 cm),Perch-likes
400392,Blenniidae,Combtooth blennies,4,3,Small demersals (<30 cm),Perch-likes
500934,Platax,Spadefishes,17,3,Medium reef assoc. fish (30 - 89 cm),Perch-likes
508042,Valamugil,Indo-Pacific mullets,17,3,Medium reef assoc. fish (30 - 89 cm),Perch-likes
590053,Turbo,Turbans,29,11,Other demersal invertebrates,Molluscs
490133,Cassidae,Helmet shells,29,11,Other demersal invertebrates,Molluscs
590050,Murex,Murex shells,29,11,Other demersal invertebrates,Molluscs
400352,Cirrhitidae,Hawkfishes,16,3,Small reef assoc. fish (<30 cm),Perch-likes
690776,Cypraea erosa,Eroded cowrie,29,11,Other demersal invertebrates,Molluscs
490062,Tridacnidae,Giant clams,29,11,Other demersal invertebrates,Molluscs
690775,Cypraea aurantium,Golden cowry,29,11,Other demersal invertebrates,Molluscs
590148,Tridacna,Tridacnid clams,29,11,Other demersal invertebrates,Molluscs
501677,Cantherhines,Mideye spined filefishes,17,12,Medium reef assoc. fish (30 - 89 cm),Other fishes & inverts
600881,Carcharhinus porosus,Smalltail shark,20,9,Large sharks (>=90 cm),Sharks & rays
590140,Protothaca,Protothaca clams,29,11,Other demersal invertebrates,Molluscs
601844,Lethrinus borbonicus,Snubnose emperor,17,3,Medium reef assoc. fish (30 - 89 cm),Perch-likes
607535,Genyatremus luteus,Torroto grunt,5,3,Medium demersals (30 - 89 cm),Perch-likes
600170,Lutjanus peru,Pacific red snapper,17,3,Medium reef assoc. fish (30 - 89 cm),Perch-likes
