area_data_key,taxon_key,fishing_entity_id,gear_id,time_key,year,area_key,eez_id,fao_id,data_layer_id,marine_layer_id,catch_type_id,catch_status,reporting_status_id,reporting_status,sector_type_id,end_use_type_id,score,catch_sum,real_value,primary_production_required,catch_trophic_level,catch_max_length,marine_layer_id_1,remarks,name,bread_crumb_name,show_sub_areas,last_report_year,eez_name,scientific_name,common_name,functional_group_id,commercial_group_id,fg_name,cg_name,sector_type
1070098,601834,7,300,65,2015,10,36,71,1,1,1,R,1,R,1,1,3,0.471750000000001,17.1940400844975,271.463790438804,1.77378,32.079,1,EEZ by FAO,eez,EEZs,TRUE,2006,Australia,Gymnocranius grandoculis,Blue-lined large-eye bream,17,3,Medium reef assoc. fish (30 - 89 cm),Perch-likes,Industrial
1070134,600878,7,400,66,2016,10,36,71,1,1,1,R,1,R,1,1,3,2.50916,581.545390876885,4781.10581508467,10.7392048,863.151040000001,1,EEZ by FAO,eez,EEZs,TRUE,2006,Australia,Carcharhinus obscurus,Dusky shark,20,9,Large sharks (>=90 cm),Sharks & rays,Industrial
1070159,600146,213,500,65,2015,10,36,71,3,1,1,R,1,R,1,1,1,1.17908345439084,1728.53634413698,3643.71621365637,5.29408471021488,241.712108150123,1,EEZ by FAO,eez,EEZs,TRUE,2006,Australia,Thunnus obesus,Bigeye tuna,3,4,Large pelagics (>=90 cm),Tuna & billfishes,Industrial
1070174,600143,213,600,62,2012,10,36,71,3,1,2,D,2,U,1,4,1,0.0232090281578214,34.0244352793662,59.6563880990281,0.102351814175993,5.36128550445675,1,EEZ by FAO,eez,EEZs,TRUE,2006,Australia,Thunnus albacares,Yellowfin tuna,3,4,Large pelagics (>=90 cm),Tuna & billfishes,Industrial
1070187,100039,91,401,62,2012,10,36,71,3,1,2,D,2,U,1,4,1,0.0596528866955395,87.4511318956609,11.3666232311463,0.195661468361369,2.98264433477697,1,EEZ by FAO,eez,EEZs,TRUE,2006,Australia,Marine fishes not identified,Marine fishes nei,5,12,Medium demersals (30 - 89 cm),Other fishes & inverts,Industrial
1070195,290056,7,703,65,2015,10,36,71,1,1,1,R,2,U,2,1,1,27.2581899984152,1011.08076285674,507.571249647614,61.8760912964025,408.872849976228,1,EEZ by FAO,eez,EEZs,TRUE,2006,Australia,Pteriomorphia,"Clams, cockles, arkshells",29,11,Other demersal invertebrates,Molluscs,Subsistence
1070199,600752,7,300,62,2012,10,36,71,1,1,1,R,1,R,1,1,3,0.114253203007514,1.71225320698927,361.300351473344,0.514139413533813,44.7872555789455,1,EEZ by FAO,eez,EEZs,TRUE,2006,Australia,Isurus oxyrinchus,Shortfin mako,20,9,Large sharks (>=90 cm),Sharks & rays,Industrial
1070213,400475,7,702,64,2014,10,36,71,1,1,1,R,2,U,4,1,2,2.00834798221432,1389.97627763394,132.690235316828,5.66354130984439,66.2754834130727,1,EEZ by FAO,eez,EEZs,TRUE,2006,Australia,Hemiramphidae,"Halfbeaks, garfishes",2,12,Medium pelagics (30 - 89 cm),Other fishes & inverts,Recreational
1070219,500638,7,302,62,2012,10,36,71,3,1,1,R,1,R,1,2,1,9.79845616296648e-4,1.43645367349089,3.09854390282881,0.00440930527333492,0.35960334118087,1,EEZ by FAO,eez,EEZs,TRUE,2006,Australia,Isurus,Mako sharks,20,9,Large sharks (>=90 cm),Sharks & rays,Industrial
1070223,600146,213,302,61,2011,10,36,71,3,1,2,D,2,U,1,4,1,2.97644744550972,4363.47195511726,9198.10194597545,13.3642490303387,610.171726329494,1,EEZ by FAO,eez,EEZs,TRUE,2006,Australia,Thunnus obesus,Bigeye tuna,3,4,Large pelagics (>=90 cm),Tuna & billfishes,Industrial
1070265,400012,7,300,65,2015,10,36,71,1,1,1,R,1,R,1,1,3,0.11344,23.3663652444,175.697757249432,0.475313599999999,36.3007999999999,1,EEZ by FAO,eez,EEZs,TRUE,2006,Australia,Sphyrnidae,"Hammer, bonnet, scoophead sharks",20,9,Large sharks (>=90 cm),Sharks & rays,Industrial
1070284,490043,7,102,62,2012,10,36,71,1,1,1,R,1,R,1,1,3,47.13,452922.57775011,9622.7109332275,156.0003,848.34,1,EEZ by FAO,eez,EEZs,TRUE,2006,Australia,Penaeidae,Commercial shrimps and prawns,26,10,Shrimps,Crustaceans,Industrial
1070318,600201,7,302,61,2011,10,36,71,1,1,1,R,1,R,1,1,3,0.36963,18.4891122748053,572.489086848621,1.5487497,29.94003,1,EEZ by FAO,eez,EEZs,TRUE,2006,Australia,Pristipomoides filamentosus,Crimson jobfish,5,3,Medium demersals (30 - 89 cm),Perch-likes,Industrial
1070331,600121,7,700,62,2012,10,36,71,1,1,1,R,1,R,3,2,3,0.0952392485165532,139.620738325267,301.172947955121,0.428576618324489,22.1907449043569,1,EEZ by FAO,eez,EEZs,TRUE,2006,Australia,Scomberomorus commerson,Narrow-barred Spanish mackerel,3,3,Large pelagics (>=90 cm),Perch-likes,Artisanal
1070485,300059,7,100,63,2013,10,36,71,1,1,2,D,2,U,1,4,3,47.446932149,69557.202530434,28589.6037961996,179.34940352322,2135.111946705,1,EEZ by FAO,eez,EEZs,TRUE,2006,Australia,Scorpaeniformes,"Scorpionfishes, flatheads",5,8,Medium demersals (30 - 89 cm),Scorpionfishes,Industrial
1070499,500661,7,200,64,2014,10,36,71,1,1,1,R,1,R,1,1,3,19.5243333333333,13894.2660665625,9562.60492895599,72.0447899999999,937.167999999999,1,EEZ by FAO,eez,EEZs,TRUE,2006,Australia,Trachurus,"Jacks, horse mackerels",2,3,Medium pelagics (30 - 89 cm),Perch-likes,Industrial
1070530,590094,7,800,63,2013,10,36,71,1,1,1,R,1,R,1,1,3,0.0936,0.0109402488,4.91219782793787,0.254592,1.5912,1,EEZ by FAO,eez,EEZs,TRUE,2006,Australia,Parapenaeopsis,Leafy-legged shrimps,26,10,Shrimps,Crustaceans,Industrial
1070540,503456,7,401,62,2012,10,36,71,1,1,1,R,1,R,1,1,3,30.011,1416.36046851979,9711.36923811507,105.33861,1020.374,1,EEZ by FAO,eez,EEZs,TRUE,2006,Australia,Parupeneus,Parupeneid goatfishes,17,3,Medium reef assoc. fish (30 - 89 cm),Perch-likes,Industrial
1070547,601417,7,700,61,2011,10,36,71,1,1,1,R,1,R,3,1,3,0.0301221260557969,0.0552246494264538,56.0900234574367,0.128621478258253,2.28928158024056,1,EEZ by FAO,eez,EEZs,TRUE,2006,Australia,Lutjanus bohar,Two-spot red snapper,17,3,Medium reef assoc. fish (30 - 89 cm),Perch-likes,Artisanal
1070634,400327,7,606,61,2011,10,36,71,1,1,1,R,1,R,1,1,3,0.0285375,3.73709027486624,6.53756356408602,0.0958859999999999,1.3412625,1,EEZ by FAO,eez,EEZs,TRUE,2006,Australia,Haemulidae,"Grunts, sweetlips, bonnetmouths",5,3,Medium demersals (30 - 89 cm),Perch-likes,Industrial
